Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Americas,Tesla,Tesla,Model S (USA),2022,thyssenkrupp Bilstein of America Inc.,Front strut,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2022,thyssenkrupp Bilstein of America Inc.,Rear strut,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2022,Robert Bosch Mexico SA de C.V.,Wiper linkage,Wiper System,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Mid West Fabricating Company,Hood striker,Back Door Lock / Trunk Lock,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Bosch [Robert Bosch LLC],Electromechanical brake booster (iBooster),Brake Booster,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Frenados Mexicanos S.A. de C.V. (Bosch Aguascalientes plant),Brake master cylinder,Brake Master Cylinder,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Ramko Injection Inc.,Shock tower cover,Chassis Frame,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Mata Ahsap ve Otomotiv San.Tic. A.S.,Carbon fiber dashboard cover,Dash Panel,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,"Futuris Automotive Components (Wuxi) Co., Ltd.",Parking brake caliper pin,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,"Futuris Automotive Components (Wuxi) Co., Ltd.",Parking brake caliper spring,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,HL Mando Corporation (Formerly Mando Corporation),Rear brake bracket,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,HL Mando Corporation - Brake plant Pyeongtaek,Rear brake caliper,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,HL Mando Corporation (Formerly Mando Corporation),Rear brake caliper,Disc Brake (Caliper),Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,BeStar Technologies Inc.,Power liftgate chime,Door Module,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Plastic Omnium Inc.,Front end module,Front End Module,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,NIFCO America Corporation,Body wedge damper insert,Hinge,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Multimatic Mfg.,Front door upper hinge,Hinge,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Brembo North America Inc.,Electronic parking brake,Parking Brake,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,"Blove Light Precision HK Co.,Ltd.",Air suspension compressor bracket,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Pegatron Corporation,Air suspension controller,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,Parker-Hannifin Corporation,Air suspension fill valve,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,"Metro Plastics Technologies, Inc.",Air suspension reservoir mount assembly,Shock Absorber,Chassis/Body
Americas,Tesla,Tesla,Model S (USA),2021,"Firestone Industrial Products Company, LLC",Front adaptive air spring module,Shock Absorber,Chassis/Body
